timestamp,buyer,seller,symbol,currency,price,quantity
500,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5232.0,7
600,SUBMISSION,Mark 01,VEV_5400,XIRECS,6.0,19
600,SUBMISSION,Mark 14,VEV_5400,XIRECS,6.0,10
700,SUBMISSION,Mark 01,VEV_5400,XIRECS,6.0,11
700,SUBMISSION,Mark 14,VEV_5400,XIRECS,6.0,6
800,SUBMISSION,Mark 01,VEV_5400,XIRECS,6.0,16
800,SUBMISSION,Mark 14,VEV_5400,XIRECS,6.0,8
900,SUBMISSION,Mark 01,VEV_5400,XIRECS,6.0,11
900,SUBMISSION,Mark 14,VEV_5400,XIRECS,6.0,7
1000,SUBMISSION,Mark 01,VEV_5400,XIRECS,6.0,10
1000,SUBMISSION,Mark 14,VEV_5400,XIRECS,6.0,9
1000,Mark 38,Mark 14,VEV_4000,XIRECS,1241.0,1
1100,SUBMISSION,Mark 01,VEV_5400,XIRECS,6.0,17
1100,SUBMISSION,Mark 14,VEV_5400,XIRECS,6.0,7
1200,SUBMISSION,Mark 01,VEV_5400,XIRECS,6.0,11
1200,SUBMISSION,Mark 14,VEV_5400,XIRECS,6.0,8
1300,SUBMISSION,Mark 01,VEV_5400,XIRECS,6.0,14
1300,SUBMISSION,Mark 14,VEV_5400,XIRECS,6.0,8
1400,SUBMISSION,Mark 01,VEV_5400,XIRECS,6.0,14
1400,SUBMISSION,Mark 14,VEV_5400,XIRECS,6.0,10
1500,SUBMISSION,Mark 01,VEV_5400,XIRECS,6.0,20
1500,SUBMISSION,Mark 14,VEV_5400,XIRECS,6.0,9
1600,SUBMISSION,Mark 01,VEV_5400,XIRECS,6.0,20
1600,SUBMISSION,Mark 14,VEV_5400,XIRECS,6.0,5
1700,SUBMISSION,Mark 01,VEV_5400,XIRECS,6.0,16
1700,SUBMISSION,Mark 14,VEV_5400,XIRECS,6.0,5
1800,SUBMISSION,Mark 01,VEV_5400,XIRECS,6.0,16
1800,SUBMISSION,Mark 14,VEV_5400,XIRECS,6.0,10
1900,SUBMISSION,Mark 01,VEV_5400,XIRECS,6.0,3
4500,Mark 01,Mark 22,VEV_5500,XIRECS,1.0,5
4500,Mark 01,Mark 22,VEV_6000,XIRECS,0.0,5
4500,Mark 01,Mark 22,VEV_6500,XIRECS,0.0,5
6300,SUBMISSION,Mark 14,VELVETFRUIT_EXTRACT,XIRECS,5238.0,21
6400,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5234.0,5
7400,Mark 14,Mark 38,VEV_4000,XIRECS,1228.0,2
8000,SUBMISSION,Mark 14,VELVETFRUIT_EXTRACT,XIRECS,5238.0,25
8100,SUBMISSION,Mark 01,VELVETFRUIT_EXTRACT,XIRECS,5238.0,39
8100,SUBMISSION,Mark 14,VELVETFRUIT_EXTRACT,XIRECS,5238.0,24
9000,Mark 38,SUBMISSION,HYDROGEL_PACK,XIRECS,9993.0,2
9200,Mark 01,SUBMISSION,VEV_5100,XIRECS,148.0,14
9200,Mark 14,SUBMISSION,VEV_5100,XIRECS,148.0,6
9200,Mark 38,Mark 14,VEV_4000,XIRECS,1253.0,1
9300,Mark 01,SUBMISSION,VEV_5100,XIRECS,149.0,14
9300,Mark 14,SUBMISSION,VEV_5100,XIRECS,149.0,11
9400,Mark 01,SUBMISSION,VEV_5100,XIRECS,149.0,14
9400,Mark 14,SUBMISSION,VEV_5100,XIRECS,149.0,7
9400,Mark 01,Mark 22,VEV_5300,XIRECS,29.0,5
9400,Mark 01,Mark 22,VEV_5400,XIRECS,6.0,5
9400,Mark 01,Mark 22,VEV_5500,XIRECS,1.0,5
9400,Mark 01,Mark 22,VEV_6000,XIRECS,0.0,5
9400,Mark 01,Mark 22,VEV_6500,XIRECS,0.0,5
9500,Mark 14,SUBMISSION,VEV_5100,XIRECS,149.0,7
9600,Mark 14,SUBMISSION,VEV_5100,XIRECS,149.0,6
9700,Mark 01,SUBMISSION,VEV_5100,XIRECS,148.0,21
9700,Mark 14,SUBMISSION,VEV_5100,XIRECS,148.0,1
9800,Mark 01,SUBMISSION,VEV_5100,XIRECS,149.0,13
9800,Mark 14,SUBMISSION,VEV_5100,XIRECS,149.0,9
9900,Mark 14,SUBMISSION,VEV_5100,XIRECS,150.0,7
10000,Mark 14,SUBMISSION,VEV_5100,XIRECS,151.0,9
10100,Mark 01,SUBMISSION,VEV_5100,XIRECS,152.0,20
10100,Mark 14,SUBMISSION,VEV_5100,XIRECS,152.0,11
10200,Mark 01,SUBMISSION,VEV_5100,XIRECS,152.0,21
10200,Mark 14,SUBMISSION,VEV_5100,XIRECS,152.0,9
10300,Mark 01,SUBMISSION,VEV_5100,XIRECS,153.0,21
10300,Mark 14,SUBMISSION,VEV_5100,XIRECS,153.0,10
10400,Mark 01,SUBMISSION,VEV_5100,XIRECS,154.0,12
10400,Mark 14,SUBMISSION,VEV_5100,XIRECS,154.0,7
10400,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,XIRECS,5251.0,6
10500,Mark 01,SUBMISSION,VEV_5100,XIRECS,153.0,15
10500,Mark 14,SUBMISSION,VEV_5100,XIRECS,153.0,12
10500,Mark 49,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5248.0,8
10600,SUBMISSION,Mark 38,HYDROGEL_PACK,XIRECS,9974.0,6
10600,Mark 01,SUBMISSION,VEV_5100,XIRECS,154.0,23
10800,Mark 14,SUBMISSION,VEV_5200,XIRECS,80.0,7
10800,Mark 22,SUBMISSION,VEV_5200,XIRECS,80.0,2
10900,Mark 14,SUBMISSION,VEV_5200,XIRECS,80.0,10
10900,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,XIRECS,5252.0,8
11200,Mark 14,SUBMISSION,VEV_5200,XIRECS,80.0,9
11300,Mark 14,SUBMISSION,VEV_5200,XIRECS,80.0,8
11400,Mark 01,SUBMISSION,VEV_5200,XIRECS,80.0,15
11400,Mark 14,SUBMISSION,VEV_5200,XIRECS,80.0,12
11500,Mark 01,SUBMISSION,VEV_5200,XIRECS,80.0,19
11500,Mark 14,SUBMISSION,VEV_5200,XIRECS,80.0,8
11600,Mark 01,SUBMISSION,VEV_5200,XIRECS,80.0,22
11600,Mark 14,SUBMISSION,VEV_5200,XIRECS,80.0,6
11700,Mark 01,SUBMISSION,VEV_5200,XIRECS,80.0,17
11700,Mark 14,SUBMISSION,VEV_5200,XIRECS,80.0,8
12700,Mark 38,SUBMISSION,HYDROGEL_PACK,XIRECS,9994.0,5
13200,Mark 01,SUBMISSION,VEV_5200,XIRECS,80.0,17
13200,Mark 14,SUBMISSION,VEV_5200,XIRECS,80.0,9
15800,Mark 14,Mark 38,VEV_4000,XIRECS,1234.0,1
16200,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,XIRECS,5247.0,8
16400,Mark 22,Mark 49,VELVETFRUIT_EXTRACT,XIRECS,5245.0,6
17500,Mark 38,SUBMISSION,HYDROGEL_PACK,XIRECS,9998.0,6
17600,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5242.0,5
18500,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,XIRECS,5247.0,5
18800,SUBMISSION,Mark 22,HYDROGEL_PACK,XIRECS,9977.0,9
22800,Mark 14,Mark 38,VEV_4000,XIRECS,1229.0,1
24800,SUBMISSION,Mark 49,VELVETFRUIT_EXTRACT,XIRECS,5236.0,10
24800,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9976.0,4
25000,SUBMISSION,Mark 14,VELVETFRUIT_EXTRACT,XIRECS,5238.0,23
25100,SUBMISSION,Mark 22,HYDROGEL_PACK,XIRECS,9966.0,10
25100,SUBMISSION,Mark 01,VELVETFRUIT_EXTRACT,XIRECS,5238.0,42
25100,SUBMISSION,Mark 14,VELVETFRUIT_EXTRACT,XIRECS,5238.0,15
25700,SUBMISSION,Mark 49,VELVETFRUIT_EXTRACT,XIRECS,5236.0,1
