timestamp,product,K,S,mid_price,M,IV
0,VEV_5100,5100,5295.5,201.5,0.9630818619582665,0.01250313864391505
0,VEV_5200,5200,5295.5,119.5,0.9819658200358795,0.012829325007396494
0,VEV_5000,5000,5295.5,296.5,0.9441979038806534,0.012400463696305767
0,VEV_5500,5500,5295.5,7.0,1.0386176942687186,0.01295656118117952
0,VEV_5300,5300,5295.5,58.0,1.0008497781134926,0.012743606067244194
0,VEV_5400,5400,5295.5,20.5,1.0197337361911056,0.0122617758293236
100,VEV_5100,5100,5296.5,203.5,0.9629000283205891,0.013065172273831617
100,VEV_5200,5200,5296.5,120.0,0.9817804210327575,0.01276556178410872
100,VEV_5000,5000,5296.5,299.0,0.9440196356084206,0.014474043478614909
100,VEV_5500,5500,5296.5,7.5,1.0384215991692627,0.013148649470548356
100,VEV_5300,5300,5296.5,59.0,1.000660813744926,0.01285046873381232
100,VEV_5400,5400,5296.5,20.5,1.0195412064570943,0.012196244436954058
200,VEV_5100,5100,5296.5,202.5,0.9629000283205891,0.012549516803709068
200,VEV_5200,5200,5296.5,120.0,0.9817804210327575,0.01276556178410872
200,VEV_5000,5000,5296.5,297.5,0.9440196356084206,0.012434946116590729
200,VEV_5500,5500,5296.5,7.5,1.0384215991692627,0.013148649470548356
200,VEV_5300,5300,5296.5,58.5,1.000660813744926,0.012744640222147491
200,VEV_5400,5400,5296.5,20.5,1.0195412064570943,0.012196244436954058
300,VEV_5500,5500,5296.5,7.0,1.0384215991692627,0.01290869397128224
300,VEV_5300,5300,5296.5,58.5,1.000660813744926,0.012744640222147491
300,VEV_5400,5400,5296.5,20.5,1.0195412064570943,0.012196244436954058
300,VEV_5100,5100,5296.5,202.5,0.9629000283205891,0.012549516803709068
300,VEV_5200,5200,5296.5,120.0,0.9817804210327575,0.01276556178410872
300,VEV_5000,5000,5296.5,297.5,0.9440196356084206,0.012434946116590729
400,VEV_5200,5200,5295.5,119.0,0.9819658200358795,0.012698420547812696
400,VEV_5100,5100,5295.5,201.5,0.9630818619582665,0.01250313864391505
400,VEV_5000,5000,5295.5,296.5,0.9441979038806534,0.012400463696305767
400,VEV_5500,5500,5295.5,7.0,1.0386176942687186,0.01295656118117952
400,VEV_5400,5400,5295.5,20.0,1.0197337361911056,0.012126256207378425
400,VEV_5300,5300,5295.5,58.0,1.0008497781134926,0.012743606067244194
500,VEV_5200,5200,5294.5,118.5,0.9821512890735669,0.012761776889251038
500,VEV_5100,5100,5294.5,200.5,0.9632637642836906,0.012456712979027897
500,VEV_5000,5000,5294.5,296.5,0.9443762394938143,0.013833171914446454
500,VEV_5500,5500,5294.5,7.0,1.0388138634431958,0.01300440056000873
500,VEV_5400,5400,5294.5,20.0,1.0199263386533195,0.01219137114397014
500,VEV_5300,5300,5294.5,58.0,1.0010388138634432,0.012847901474180036
600,VEV_5200,5200,5295.5,119.0,0.9819658200358795,0.012698420547812696
600,VEV_5100,5100,5295.5,201.5,0.9630818619582665,0.01250313864391505
600,VEV_5000,5000,5295.5,296.5,0.9441979038806534,0.012400463696305767
600,VEV_5500,5500,5295.5,7.0,1.0386176942687186,0.01295656118117952
600,VEV_5400,5400,5295.5,20.0,1.0197337361911056,0.012126256207378425
600,VEV_5300,5300,5295.5,58.0,1.0008497781134926,0.012743606067244194
700,VEV_5500,5500,5296.0,7.0,1.0385196374622356,0.01293263106943171
700,VEV_5400,5400,5296.0,20.5,1.0196374622356494,0.012229023213561589
700,VEV_5300,5300,5296.0,58.5,1.0007552870090635,0.012797114282311997
700,VEV_5200,5200,5296.0,119.5,0.9818731117824774,0.012732009489524
700,VEV_5100,5100,5296.0,201.5,0.9629909365558912,0.01225393875815784
700,VEV_5000,5000,5296.0,297.5,0.9441087613293051,0.013231177045394771
800,VEV_5200,5200,5297.5,120.5,0.9815950920245399,0.012700568890838381
800,VEV_5100,5100,5297.5,203.5,0.9627182633317602,0.012595847730289923
800,VEV_5000,5000,5297.5,298.5,0.9438414346389806,0.012469408425777971
800,VEV_5500,5500,5297.5,7.5,1.0382255781028786,0.01310020393109413
800,VEV_5400,5400,5297.5,20.5,1.019348749410099,0.012130607743467962
800,VEV_5300,5300,5297.5,59.0,1.0004719207173194,0.012745114590130183
900,VEV_5200,5200,5297.5,120.0,0.9815950920245399,0.012567991220371513
900,VEV_5100,5100,5297.5,202.5,0.9627182633317602,0.012037133530729395
900,VEV_5000,5000,5297.5,297.5,0.9438414346389806,
900,VEV_5500,5500,5297.5,7.5,1.0382255781028786,0.01310020393109413
900,VEV_5400,5400,5297.5,20.5,1.019348749410099,0.012130607743467962
900,VEV_5300,5300,5297.5,59.0,1.0004719207173194,0.012745114590130183
1000,VEV_5200,5200,5297.0,120.5,0.9816877477817633,0.012799077635791625
1000,VEV_5100,5100,5297.0,202.5,0.9628091372474986,0.01229966881383953
1000,VEV_5000,5000,5297.0,298.5,0.9439305267132339,0.013267303401803193
1000,VEV_5500,5500,5297.0,7.5,1.0383235793845573,0.01312443030872723
1000,VEV_5400,5400,5297.0,20.5,1.0194449688502927,0.012163439335475585
1000,VEV_5300,5300,5297.0,59.0,1.000566358316028,0.012797855380995368
1100,VEV_5500,5500,5297.5,7.5,1.0382255781028786,0.01310020393109413
1100,VEV_5400,5400,5297.5,21.0,1.019348749410099,0.012264756548075476
1100,VEV_5300,5300,5297.5,59.5,1.0004719207173194,0.012850919300470012
1100,VEV_5200,5200,5297.5,121.0,0.9815950920245399,0.012832557246732563
1100,VEV_5100,5100,5297.5,203.5,0.9627182633317602,0.012595847730289923
1100,VEV_5000,5000,5297.5,299.5,0.9438414346389806,0.013945449673905218
1200,VEV_5200,5200,5298.5,121.5,0.9814098329715958,0.01276715720149629
1200,VEV_5100,5100,5298.5,204.0,0.9625365669529112,0.01236817777481318
1200,VEV_5000,5000,5298.5,299.5,0.9436633009342267,0.012503850688117879
1200,VEV_5500,5500,5298.5,7.5,1.0380296310276493,0.013051729409151917
1200,VEV_5400,5400,5298.5,21.0,1.0191563650089648,0.012198705345423765
1200,VEV_5300,5300,5298.5,59.5,1.0002830989902802,0.012745029697826192
1300,VEV_5200,5200,5298.5,121.5,0.9814098329715958,0.01276715720149629
1300,VEV_5100,5100,5298.5,204.5,0.9625365669529112,0.012642131692432725
1300,VEV_5000,5000,5298.5,299.5,0.9436633009342267,0.012503850688117879
1300,VEV_5500,5500,5298.5,7.5,1.0380296310276493,0.013051729409151917
1300,VEV_5400,5400,5298.5,21.0,1.0191563650089648,0.012198705345423765
1300,VEV_5300,5300,5298.5,59.5,1.0002830989902802,0.012745029697826192
1400,VEV_5200,5200,5298.0,121.0,0.9815024537561344,0.012733880908125808
1400,VEV_5100,5100,5298.0,203.5,0.9626274065685164,0.012345352894056454
1400,VEV_5000,5000,5298.0,299.5,0.9437523593808984,0.013303407802219046
1400,VEV_5500,5500,5298.0,7.5,1.0381275953189883,0.01307597030788161
1400,VEV_5400,5400,5298.0,21.0,1.0192525481313703,0.0122317444175861
1400,VEV_5300,5300,5298.0,59.5,1.0003775009437523,0.012798039290169148
